Player TS 3PAr FTr ORB DRB TRB AST STL BLK TOV G
Quincy Acy 0.629 0.229 0.318 8.1 15.1 11.6 4.4 1.6 2.2 10 59
Jordan Adams 0.427 0.167 0.833 0 15.9 7.6 31.9 10.3 0 19.6 2
Steven Adams 0.621 0 0.46 12.5 16.1 14.4 4.3 1 3.3 14.1 80
Arron Afflalo 0.531 0.298 0.164 1.1 11 6.1 9.9 0.5 0.3 8.7 71
Alexis Ajinca 0.514 0.003 0.197 9.3 25.9 17.3 5.8 1.1 3.4 13.6 59
Cole Aldrich 0.626 0 0.373 11.9 27.1 19.6 10 2.9 6.7 19.6 60
LaMarcus Aldridge 0.565 0.015 0.289 9.2 22.2 15.9 8.1 0.9 2.8 7.8 74
Cliff Alexander 0.5 0 0 6 12.1 9 0 1.4 4.4 9.1 8
Lavoy Allen 0.532 0 0.197 11.1 17.8 14.5 7.1 0.8 2.1 14.6 79
Tony Allen 0.505 0.09 0.294 7 14.1 10.4 6.9 3.5 1 12.8 64
Al-Farouq Aminu 0.533 0.485 0.217 4.5 18.6 11.5 8.8 1.5 1.8 13.2 82
Lou Amundson 0.401 0 0.509 12.5 13.7 13.1 8.8 1.5 2.6 18.8 29
Chris Andersen 0.598 0.194 0.5 9.9 18.2 13.9 4.4 1.9 2.9 9.3 27
Chris Andersen 0.553 0.5 0.4 9.8 18.3 14.2 12.2 1.4 6.4 14.5 7
Chris Andersen 0.605 0.145 0.516 9.9 18.2 13.9 3.7 2 2.5 8.4 20
Alan Anderson 0.495 0.627 0.254 0.6 15.5 7.9 10.3 1 0.4 3 13
James Anderson 0.469 0.483 0.163 2 10.9 6.5 7.7 1.4 1.6 18 51
Justin Anderson 0.522 0.474 0.314 3.1 19.3 11.2 6.8 1.5 3.2 10.8 55
Kyle Anderson 0.528 0.125 0.281 2.4 19.4 11.2 13.7 2.5 1.8 15.1 78
Ryan Anderson 0.546 0.385 0.245 7 15.2 10.9 6.1 0.9 1 8 66
Giannis Antetokounmpo 0.566 0.108 0.404 4.6 20 12.4 20 1.7 3.4 14.8 80
Thanasis Antetokounmpo 0.75 0.25 0 0 17.9 9.1 0 0 0 0 2
Carmelo Anthony 0.53 0.237 0.308 4.3 19.5 12 21.9 1.3 1.1 10.6 72
Joel Anthony 0.666 0 0.8 8.8 15.4 11.9 1.4 1.1 9.5 12.9 19
Keith Appling 0.338 0.375 0.25 0 4.2 2.1 5 1.9 0 25.3 5
Trevor Ariza 0.551 0.581 0.187 2.6 11.6 7.1 10 2.8 0.8 10.8 81
Darrell Arthur 0.514 0.239 0.108 6.2 15.4 10.7 10 1.8 2.6 11.4 70
Omer Asik 0.551 0 0.574 10.9 28.7 19.5 3.1 0.9 1.6 19.7 68
D.J. Augustin 0.575 0.48 0.366 0.8 8 4.4 25.3 1.6 0.3 17.1 62
D.J. Augustin 0.522 0.504 0.281 1.1 7.6 4.5 16.7 1.2 0.3 18.1 34
